"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NZL","New Zealand","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2011","2011","NBR","Number","0","Units",,,17681000,,
"NZL","New Zealand","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2012","2012","NBR","Number","0","Units",,,16599000,,
"NOR","Norway","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2008","2008","NBR","Number","0","Units",,,14500000,,
"NOR","Norway","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2009","2009","NBR","Number","0","Units",,,14540000,,
"NOR","Norway","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2010","2010","NBR","Number","0","Units",,,15260000,,
"NOR","Norway","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2011","2011","NBR","Number","0","Units",,,14160000,,
"NOR","Norway","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2012","2012","NBR","Number","0","Units",,,13280000,,
"NOR","Norway","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2013","2013","NBR","Number","0","Units",,,15060000,,
"NOR","Norway","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2014","2014","NBR","Number","0","Units",,,15450000,,
"NOR","Norway","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2015","2015","NBR","Number","0","Units",,,13700000,,
"NOR","Norway","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2016","2016","NBR","Number","0","Units",,,13840000,,
"POL","Poland","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2008","2008","NBR","Number","0","Units",,,15510000,,
"POL","Poland","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2009","2009","NBR","Number","0","Units",,,15492000,,
"POL","Poland","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2010","2010","NBR","Number","0","Units",,,16327000,,
"POL","Poland","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2011","2011","NBR","Number","0","Units",,,17067066,,
